Rank,Name,Birth_Count,Kana
815,彰人,94,あきと
816,知弘,94,ともひろ
817,鉄平,94,てっぺい
818,優平,94,ゆうへい
819,雄祐,94,ゆうすけ
820,侑樹,94,ゆうき
821,伸,93,しん
822,正輝,93,まさき
823,佑也,93,ゆうや
824,勇一,93,ゆういち
825,孝一,92,こういち
826,弘晃,92,ひろあき
827,真輝,92,まさき
828,泰介,92,たいすけ
829,泰之,92,やすゆき
830,和史,92,かずふみ
831,翔伍,92,しょうご
832,憲,91,けん
833,勝太,91,しょうた
834,知樹,91,ともき
835,智志,91,ともし
836,友彦,91,ともひこ
837,貴則,90,たかのり
838,敬祐,90,けいすけ
839,光太,90,こうた
840,孝文,90,たかふみ
841,克彦,90,かつひこ
842,正裕,90,まさひろ
843,武史,90,たけし
844,雄飛,90,ゆうひ
845,康之,89,やすゆき
846,浩明,89,ひろあき
847,修司,89,しゅうじ
848,勝成,89,かつなり
849,将希,89,まさき
850,晋太郎,89,しんたろう
851,正義,89,まさよし
852,泰史,89,やすし
853,泰成,89,やすなり
854,勇志,89,ゆうし
855,友宏,89,ともひろ
856,悠太郎,89,ゆうたろう
857,廉,89,れん
858,和大,89,かずひろ
859,佳樹,88,よしき
860,慶一,88,けいいち
861,元輝,88,もとき
862,康宏,88,やすひろ
863,晃太,88,こうた
864,俊輝,88,としき
865,準,88,じゅん
866,大亮,88,だいすけ
867,智幸,88,ともゆき
868,佑太郎,88,ゆうたろう
869,勇二,88,ゆうじ
870,要,88,かなめ
871,隆博,88,たかひろ
872,洸太,88,こうた
873,寛樹,87,ひろき
874,啓祐,87,けいすけ
875,光司,87,こうじ
876,真広,87,まさひろ
877,真志,87,まさし
878,真弥,87,まさや
879,大典,87,だいすけ
880,哲朗,87,てつろう
881,隼斗,87,はやと
882,友裕,87,ともひろ
883,一徳,86,いっとく
884,弘之,86,ひろゆき
885,隆浩,86,たかひろ
886,孝則,85,こうのり
887,伸吾,85,しんご
888,大雅,85,たいが
889,大紀,85,だいき
890,飛翔,85,つばさ
891,友和,85,ともかず
892,一史,84,ひとし
893,貴哉,84,たかや
894,享,84,りょう
895,康輔,84,こうすけ
896,恒平,84,こうへい
897,将士,84,まさし
898,崇文,84,たかふみ
899,壮太,84,そうた
900,大二郎,84,だいじろう
901,勇佑,84,ゆうすけ
902,裕治,84,ゆうじ
903,隆裕,84,たかひろ
904,嶺,84,れい
905,一喜,83,いつき
906,幹,83,みき
907,孝志,83,たかし
908,将一,83,しょういち
909,慎哉,83,しんや
910,太貴,83,たいき
911,太朗,83,たろう
